Question,tot_time_spent,num students,average time to solve,num_success,num_failed,question_length,person_name_count,person_name_boolean,conjunction_phrase_count,preposition_phrase_count,math_symbols_count,Unnamed: 17,success_rate,Adding-Decimals,Addition,Algebraic-Manipulation,Area,Area-Concept,Area-of-Circle,Circle-Graph,Circumference,Combinatorics,Comparing-Fractions,Compounding_Interest,Congruence,Conversion-of-fractions-decimals-percents,Discount,Divide-Decimals,Divisibility,Division,Equation-Concept,Equation-Solving,Equivalent-Fractions-Decimals-Percents,Evaluating-Functions,Exponents,Finding-Percents,Fraction-Decimals-Percents,Fraction-Division,Fraction-Multiplication,Fractions,Increasing_Percent_(Sales_Tax),Inducing-Functions,Integers,Interpreting-Linear-Equations,Interpreting-Numberline,Isosceles-Triangle,Knowing_English_and_Metric_Terms,Least-Common-Multiple,Linear-Area-Volume-Conversion,Making-Sense-of-Expressions-and-Equations,Mean,Meaning-of-PI,Measurement,Median,Multiplication,Multiplying-Decimals,Multiplying-Positive-Negative-Numbers,Number-Line,Of-Means-Multiply,Ordering-Fractions,Ordering-Numbers,Order-of-Operations,Pattern-Finding,Percent-Of,Percents,Perimeter,Point-Plotting,Prime-Number,Probability,Properties-of-Geometric-Figures,Properties-of-Solids,Proportion,Pythagorean-theorem,Range,Rate,Rate-with-Distance-and-Time,Reading-graph,Reciprocal,Reduce-Fraction,Rounding,Scale,Scientific-Notation,Similar-Triangles,Slope,Square-Root,Statistics,Stem-and-Leaf-Plot,Substitution,Subtracting-Decimals,Subtraction,Sum-Of-Interior-Angles-more-than-3-Sides,Sum-of-Interior-Angles-Triangle,Supplementary-Angles,Surface-Area-and-Volume,Symbolization-Articulation,Transformations/Rotations,Transversals,Triangle-Inequality,Unit-Conversion,Venn-Diagram
Roberto bought skates marked for $69.95. The rate of sales tax is 5%. How much will Roberto have to pay to purchase the skates?   ,37800,338,111.8343195,95,243,130,0,FALSE,0,2,1,,0.281065089,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natalie bought a book that was on sale for 25% off. The regular price of the book was $18. What was the sale price of the book?   ,25547,320,79.834375,125,195,130,0,FALSE,0,4,1,,0.390625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Massachusetts Department of Employment and Training predicts that 374,000 new jobs will be created in Massachusetts between 1994 and 2005, and about 2 out of 5 of those jobs will require a college education. Based on   ",26561,296,89.73310811,117,179,223,0,FALSE,3,7,0,,0.39527027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Which of the following angles measures about 60 degrees?   ,10130,292,34.69178082,291,1,59,0,FALSE,0,1,0,,0.996575342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How does 80% of a number greater than 0 compare with that number?   ,15128,313,48.33226837,114,199,68,0,FALSE,0,2,1,,0.364217252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marc wants to put this picture in the school newspaper in a space that is 5 inches tall. If he enlarges the picture proportionally so it is 5 inches tall, how wide will it be?   ",22266,296,75.22297297,182,114,178,0,FALSE,0,2,0,,0.614864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Each band member had 12 tickets to sell to the spring concert. Jamie sold 2/3 of his tickets. Kim sold 1/2 of hers. Matt sold 3/4 of his. Sally sold 7/12 of hers. Who sold the most tickets?   ,21891,314,69.71656051,206,108,192,4,1,0,5,4,,0.656050955,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erin determined the mass of some samples for her science project. The mass of each sample is listed above. Which of the following correctly lists the samples in order from the least mass to the greatest mass?   ,19949,313,63.73482428,197,116,211,1,1,0,7,0,,0.629392971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The chart below shows the amount spent by customers at a department store on a typical business day.Amount SpentNumber of Customers$0158$0.01-$6.0094$6.01-$10.00203$10.01-$20.00126$20.01-$50.0047$50.01-$100.0038$100.01 and over53Based on the in   ,47502,328,144.8231707,23,305,247,0,FALSE,1,5,5,,0.070121951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huey is reading a book that is 697 pages long. He tells a friend that he is about 3/4 of the way done. About how many more pages must Huey read before he finishes the book?   ,32126,334,96.18562874,198,136,175,0,FALSE,0,1,1,,0.592814371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The diagram above shows a relationship among the percentages of students who chose to take Biology, Algebra or Band. If 900 students signed up to take courses, how many will not be taking Biology, Algebra or Band?   ",43803,341,128.4545455,72,269,216,0,FALSE,2,2,0,,0.211143695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"In the scatter plot, each dot represents one student who participated in the 50-meter race. Ben is 15 years old. Based on the information in the scatter plot, what was Ben's time in the race?   ",23729,320,74.153125,200,120,194,2,1,0,6,1,,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What is the value of -2(x - 2(x - y)) if x = -3 and y = 7?   ,35839,337,106.347181,32,305,61,0,FALSE,1,1,6,,0.09495549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
How many units apart are -10 and -1 on the number line?   ,10951,306,35.7875817,173,133,58,0,FALSE,1,1,2,,0.565359477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The president of the science club brought 134 cans of juice on a field trip. Each person on the trip received 3 cans of juice, and there were 20 extra cans. Which equation below could be used to find n, the number of people who went on the field   ",29352,299,98.16722408,87,212,248,0,FALSE,1,7,0,,0.2909699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"If 3x + y = 6, what is the value of 6x + 2y?   ",19872,306,64.94117647,235,71,47,0,FALSE,1,2,3,,0.767973856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A chemical solution is 0.5% iodine. How many milliliters of iodine are in 1,000 mL of solution?   ",18324,337,54.37388724,70,267,98,0,FALSE,0,3,1,,0.207715134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"At 4:00pm on a sunny day, a stick 2 feet tall casts a shadow 5 feet long. At the same time, a tree nearby casts a shadow 55 feet long. What is the height, in feet, of the tree?   ",23995,312,76.90705128,231,81,179,0,FALSE,0,5,0,,0.740384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Which number is 100 more than 99,999?   ",14198,307,46.247557,218,89,40,0,FALSE,0,1,0,,0.71009772,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write the rule for the table below. Input (x)Output (y) 3-5 6-11 2-3 8   ,31928,297,107.5016835,60,237,73,1,1,0,4,3,,0.202020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compute 1/3 x 11/2   ,17562,309,56.83495146,128,181,21,0,FALSE,0,0,2,,0.414239482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The area of square A is 4 square units. The sides of square B are twice as long as the sides of square A. What is the area of square B?   ,14442,317,45.55835962,128,189,138,0,FALSE,0,4,0,,0.403785489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suppose that all the runners in the marathon stood side-by-side holding hands, as shown in the diagram. How would the length of the line of all 40,700 runners compare to the length of the 26.2-mile marathon course?   ",43428,311,139.6398714,115,196,217,0,FALSE,0,7,3,,0.36977492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Use the figure above to answer the questions. What is the measure of angle A?   ,21650,347,62.39193084,154,193,80,0,FALSE,0,1,0,,0.443804035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"A bag contains 2 blue, 6 black, and 4 white socks. Paula is going to draw out a sock without looking in the bag. What is the probability that she will draw either a blue or a black sock?   ",23636,350,67.53142857,232,118,189,1,1,2,2,0,,0.662857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The table below shows the number of rectangles in figures 1 through 4 above. Predict the number of rectangles in the 7th figure, that is, in the figure made up of 7 small congruent rectangles.   ",38200,303,126.0726073,128,175,195,0,FALSE,0,7,0,,0.422442244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"So far this term, Heidi has these scores on quizzes.87, 86, 96, 87What is the lowest score she can get on the one remaining quiz to have a final average (mean) score of 90?   ",44245,341,129.7507331,164,177,175,1,1,0,3,0,,0.480938416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The chart below shows the average monthly price per share of HiTek stock for each month in 2001. Month Jan Feb Mar Apr May   ,23999,303,79.20462046,302,1,125,1,1,0,4,0,,0.99669967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compute: 10 - (3)2 + (-3)* 2   ,25480,323,78.88544892,135,188,31,0,FALSE,0,1,4,,0.417956656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What is the ratio of the circumference of a circle to its diameter?   ,26192,319,82.10658307,309,10,70,0,FALSE,0,3,0,,0.968652038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This is a regular hexagon. How many degrees are in angle EFG?   ,14666,319,45.97492163,169,150,64,0,FALSE,0,1,0,,0.529780564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Which of the following must be true of any number that is evenly divisible by 6? I. It is divisible by 3. II. It is an even number. III. Its units digit is 6. IV. The sum of its digits is 6.   ,20611,311,66.2733119,182,129,193,0,FALSE,0,5,0,,0.585209003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Which of the following transformations will map triangle ABC onto triangle DEF?   ,38869,328,118.5030488,328,0,82,0,FALSE,0,2,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Which of the above is an irrational number?   ,14970,324,46.2037037,93,231,46,0,FALSE,0,1,0,,0.287037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What is the correct choice?   ,25496,328,77.73170732,172,156,30,0,FALSE,0,0,0,,0.524390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What should you add to 65 + 90 to get 180? 65 + 90 + ____ = 180   ,3315,70,47.35714286,70,0,66,0,FALSE,1,1,4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
What should you add to 10 + 110 to get 180? 10 + 110 + ____ = 180   ,1885,71,26.54929577,71,0,68,0,FALSE,2,1,4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
What should you add to 60 + 60 to get 180? 60 + 60 + ____ = 180   ,1666,72,23.13888889,71,1,66,0,FALSE,1,1,4,,0.986111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
What is the measure of angle b?   ,7398,141,52.46808511,141,0,34,0,FALSE,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
What should you add to 110 to get 180? 110 + ____ = 180   ,1389,72,19.29166667,72,0,58,0,FALSE,0,1,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
What should you add to 55 to get 180? 55 + ____ = 180   ,2984,68,43.88235294,68,0,56,0,FALSE,0,1,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
What should you add to 25 to get 180? 25 + ____ = 180   ,2964,72,41.16666667,71,1,56,0,FALSE,0,1,2,,0.986111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
What is the measure of angle a?   ,9277,214,43.35046729,214,0,34,0,FALSE,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
What should you add to 25 + 10 to get 180? 25 + 10 + ____ = 180   ,3437,71,48.4084507,70,1,66,0,FALSE,1,1,4,,0.985915493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A comparison of the median wage for a business employee in three cities is shown above. Which of the following is closest to the difference between the median wage in City 2 and the median wage in City 1?   ,26675,329,81.07902736,229,100,207,0,FALSE,1,8,0,,0.696048632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Express 40% as a fraction. Don't forget to reduce the fraction.   ,4061,91,44.62637363,88,3,66,0,FALSE,0,1,1,,0.967032967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Present the decimal above as a fraction.   ,6695,94,71.22340426,92,2,43,0,FALSE,0,1,0,,0.978723404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Express 8/10 as a percent.   ,2241,89,25.17977528,86,3,29,0,FALSE,0,1,1,,0.966292135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Express 3/10 as a percent.   ,2768,94,29.44680851,94,0,29,0,FALSE,0,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Express 4/5 as a decimal.   ,5029,93,54.07526882,90,3,28,0,FALSE,0,1,1,,0.967741935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
There are 100 squares in the 10 by 10 grid above. Express the number of pink squares as a decimal.   ,9058,96,94.35416667,93,3,101,0,FALSE,0,3,0,,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Express 25% as a fraction. Don't forget to reduce the fraction.   ,3131,93,33.66666667,93,0,66,0,FALSE,0,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
